1001,500.0,2025-12-03T17:11:32.032551052,Withdraw,1020,-4550.0
1001,56.0,2025-12-03T18:09:02.233875690,Withdraw,1020,-4606.0
1001,20.0,2025-12-03T18:13:49.087160623,Withdraw,1022,-20.0
1001,100.0,2025-12-03T18:27:38.118749055,Withdraw,1022,-80.0
1001,20.0,2025-12-03T18:30:45.539823017,Withdraw,1022,-135.0
1001,20.0,2025-12-03T18:33:46.767546880,Withdraw,1022,-190.0
1001,10.0,2025-12-03T18:35:23.995996360,Withdraw,1022,-235.0
1001,100.0,2025-12-03T18:39:11.556138562,Withdraw,1022,-370.0
1001,100.0,2025-12-03T18:40:29.650039064,Withdraw,1022,-505.0
1001,123.0,2025-12-03T19:06:59.491769937,Withdraw,1020,4483.0
1001,100.0,2025-12-03T19:09:38.408435500,Withdraw,1022,-640.0
1001,5000.0,2025-12-03T19:12:37.046293225,Withdraw,1020,-552.0
1001,100.0,2025-12-03T19:12:57.181255407,Withdraw,1020,-687.0
1001,500.0,2025-12-03T19:50:38.692826682,Withdraw,1022,-175.0
1001,100.0,2025-12-03T19:51:16.932014312,Withdraw,1022,-310.0
1003,200.0,2025-12-04T00:29:20.059821319,Deposit,1022,400.0
1001,5.0,2025-12-04T17:24:08.908697450,Withdraw,1020,996.0
1004,20.0,2025-12-04T17:25:45.525369026,Deposit,1020,1016.0
1005,20.0,2025-12-04T17:29:04.042516287,Deposit,1020,1016.0
1006,50.0,2025-12-04T17:29:23.897049153,Deposit,1020,1066.0
1007,500.0,2025-12-05T16:55:28.629595322,Transfer,1020,1021,566.0
1008,500.0,2025-12-05T17:04:06.981037345,Transfer,1020,1021,566.0
1009,500.0,2025-12-05T17:05:23.863909218,Transfer,1020,1021,566.0
1010,500.0,2025-12-05T17:06:35.767526071,Transfer,1020,1021,566.0
1011,500.0,2025-12-05T17:07:22.572197239,Transfer,1020,1021,566.0
1012,500.0,2025-12-05T17:07:39.850413092,Transfer,1020,1021,566.0
1013,500.0,2025-12-05T17:13:12.285474142,Transfer,1020,1021,566.0
1014,500.0,2025-12-05T17:15:24.253376727,Transfer,1020,1025,66.0
1015,500.0,2025-12-05T17:23:05.645568592,Deposit,1020,566.0
1016,60.0,2025-12-05T17:23:38.832208169,Transfer,1020,1025,506.0
1001,20.0,2025-12-05T17:26:33.319741218,Withdraw,1020,486.0
1017,1000.0,2025-12-05T17:26:53.235919149,Deposit,1020,1486.0
1018,20.0,2025-12-05T17:28:04.039103488,Transfer,1020,1021,1466.0
1001,10.0,2025-12-05T17:30:41.448727570,Withdraw,1027,-45.0
1019,100.0,2025-12-05T17:42:10.331847913,Transfer,1027,1029,-145.0
1020,200.0,2025-12-05T17:45:15.040727447,Transfer,1020,1029,1266.0
1021,10.0,2025-12-05T17:47:36.821373993,Transfer,1020,,1256.0
1022,20.0,2025-12-05T17:48:16.869395093,Transfer,1020,1029,1246.0
1023,200.0,2025-12-05T17:49:23.495630813,Transfer,1020,1029,1046.0
1024,46.0,2025-12-05T17:50:37.078850073,Transfer,1020,1026,1000.0
1025,10.0,2025-12-05T17:53:50.703515268,Transfer,1020,1029,990.0
1026,10.0,2025-12-05T17:56:14.671767177,Transfer,1020,1029,980.0
1027,20.0,2025-12-05T18:01:05.299691477,Transfer,1020,1029,960.0
1028,10.0,2025-12-05T18:02:32.348547297,Transfer,1020,1029,950.0
1029,50.0,2025-12-05T18:03:54.348763135,Transfer,1020,1029,900.0
1030,50.0,2025-12-05T18:04:58.575828591,Transfer,1020,1029,900.0
1031,100.0,2025-12-05T18:08:22.478822556,Transfer,1020,1029,800.0
1032,100.0,2025-12-05T18:10:29.656480028,Transfer,1020,1029,700.0
1033,50.0,2025-12-05T18:17:39.274676438,Transfer,1027,1029,-195.0
1034,50.0,2025-12-05T18:18:23.224840106,Transfer,1027,1027,-245.0
1035,50.0,2025-12-05T18:18:23.230466707,Transfer,1027,1027,-145.0
1036,20.0,2025-12-05T18:20:00.654422972,Transfer,1027,1027,-165.0
1037,20.0,2025-12-05T18:20:00.678095876,Transfer,1027,1027,-125.0
1038,20.0,2025-12-05T18:22:12.222677107,Transfer,1027,1027,-145.0
1039,20.0,2025-12-05T18:22:12.251738107,Transfer,1027,1027,-105.0
1040,20.0,2025-12-05T18:23:41.232992410,Transfer,1027,1029,-125.0
1041,125.0,2025-12-05T18:51:55.584267954,Transfer,1020,1027,575.0
1042,125.0,2025-12-05T18:51:55.609552355,Transfer,1020,1027,0.0
1043,10.0,2025-12-05T18:52:52.117122915,Transfer,1027,1020,-45.0
1044,10.0,2025-12-05T18:52:52.145403411,Transfer,1027,1020,585.0
1045,20.0,2025-12-05T18:53:55.403413472,Transfer,1027,1020,-100.0
1046,20.0,2025-12-05T18:53:55.407195172,Transfer,1027,1020,605.0
1047,100.0,2025-12-05T19:08:10.057950697,Transfer,1020,1027,505.0
1048,100.0,2025-12-05T19:08:10.088660191,Transfer,1020,1027,0.0
1049,100.0,2025-12-05T19:09:29.532724380,Transfer,1027,1022,-135.0
1050,100.0,2025-12-05T19:11:03.654731628,Transfer,1027,1020,-135.0
1051,100.0,2025-12-05T19:11:03.711714428,Transfer,1027,1020,605.0
1052,100.0,2025-12-05T19:12:56.810866536,Transfer,1027,1020,-270.0
1053,100.0,2025-12-05T19:12:56.839448837,Transfer,1027,1020,705.0
